Date,Gross_Revenue,Returns,Net_Revenue,Prophet_Forecast,ARIMA_Forecast,Regression_Forecast
2010-12-01,746723.61,-74729.12,671994.49,749955.9100959467,,
2011-01-01,558448.5599999999,-131363.05000000002,427085.5099999999,552298.2361449741,,
2011-02-01,497026.41,-25519.15,471507.25999999995,488114.07194062637,,
2011-03-01,682013.98,-34201.28,647812.7,721449.1598791332,,
2011-04-01,492367.841,-44600.65,447767.191,471333.4437592291,,
2011-05-01,722094.1,-47202.51,674891.59,706373.747550308,,
2011-06-01,689977.23,-70569.78,619407.45,705702.1014417754,,
2011-07-01,680156.991,-37919.13,642237.861,696974.216710761,,
2011-08-01,681386.46,-54330.8,627055.6599999999,689114.6196990306,,
2011-09-01,1017596.682,-38838.51,978758.172,1019429.8079135773,,
2011-10-01,1069368.23,-81895.5,987472.73,1080078.9941717244,,
2011-11-01,1456145.8,-47720.979999999996,1408424.82,1496820.3337474237,,
2011-12-01,432701.06,-205089.27000000002,227611.78999999998,425252.653101086,,
2012-01-01,,,,177846.63015869807,1038871.1993467008,244426.00999999937
2012-02-01,,,,324700.5486505412,679846.2090618333,183003.85999999952
2012-03-01,,,,301857.83412225643,892491.0347999831,367991.4299999993
